,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
0,704457,39.6,38.3,41.0,01,01,483628,6173,0,89,0,177,147,168,659,1664,1630,4774,8571,14770,15730,7913,134396,23782,28984,72702,45045,73720,31803,7552,3179,688090,121383,51861,69522,566707,274251,292456,264399,186761,77638,264399,179447,84952,691182,327312,363870
1,681621,38.2,36.7,40.1,01,02,464210,5620,0,0,372,319,1258,852,1492,2796,3913,6445,12395,14584,14197,10385,121127,27056,29275,75042,35913,64329,27290,5782,3768,659925,127415,56218,71197,532510,261706,270804,259766,185064,74702,259766,177866,81900,661346,315970,345376
2,709482,38.3,36.6,39.8,01,03,472077,7650,0,0,30,50,524,557,1471,2651,3835,6165,12233,16712,15211,10166,116053,28007,30704,76546,36027,64031,32061,5894,5499,688556,113480,51737,61743,575076,281468,293608,270850,198058,72792,270850,191269,79581,696843,335042,361801
3,683273,40.7,39.7,42.0,01,04,472340,11335,137,31,180,372,1388,1369,1271,5880,4236,10959,12350,17864,15920,9318,125783,31974,33496,69006,39050,51327,21812,4541,2741,674872,120194,51625,68569,554678,278648,276030,256036,170941,85095,256036,163476,92560,677025,330956,346069
4,712529,40.1,38.4,41.8,01,05,490229,6742,76,153,86,752,636,436,1753,3316,5312,7053,10700,13579,9727,6244,105505,31714,30612,70382,37053,90532,46215,5877,5774,695803,103145,45777,57368,592658,294794,297864,278329,206725,71604,278329,199528,78801,701156,342268,358888
5,706308,39.0,37.8,40.2,01,06,483675,3653,0,65,57,366,517,1060,546,2004,1850,5304,7897,7586,8638,8412,101779,18177,26678,71513,39884,109930,44733,14656,8370,694055,68557,30408,38149,625498,302988,322510,267123,205556,61567,267123,199728,67395,698153,335090,363063
6,665630,36.5,34.2,38.3,01,07,434554,6020,147,293,92,294,457,338,1199,2662,2421,3498,9488,14354,17652,11301,126878,19005,21736,74555,38058,52811,22250,4629,4416,640028,156057,64834,91223,483971,236905,247066,256015,177801,78214,256015,171228,84787,656824,309287,347537
7,741894,33.5,32.8,34.3,02,00,478951,2419,180,93,28,181,344,933,488,1670,709,3347,3304,5927,8082,5272,107185,26743,34525,95125,40819,90861,36182,8730,5804,723968,71566,34994,36572,652402,343233,309169,248468,213631,34837,248468,204649,43819,718419,371645,346774
8,766924,37.5,36.6,38.4,04,01,498856,7354,205,22,189,662,1121,1199,1444,4530,2499,7844,9073,13424,12892,8722,106006,23991,33580,99354,42398,71911,36911,7612,5913,733824,153354,71997,81357,580470,291307,289163,249358,169861,79497,249358,162340,87018,748916,369387,379529
9,722770,40.8,39.0,43.0,04,02,507105,4266,222,81,111,391,666,531,1186,3986,1386,5373,5741,7151,9708,8988,88726,19124,37566,93379,46329,97801,49892,12802,11699,702599,121374,57061,64313,581225,279430,301795,301297,212263,89034,301297,200976,100321,700366,334064,366302
10,752284,32.7,31.0,34.2,04,03,449804,11230,0,25,522,893,3514,1541,3069,16096,3106,11086,14603,13630,13377,10815,102579,22881,31008,82910,32865,50853,17570,3130,2501,724087,150093,69967,80126,573994,288954,285040,242621,194460,48161,242621,184812,57809,735019,363616,371403
11,753807,47.9,45.7,50.0,04,04,555153,4249,0,81,300,667,1209,569,760,3311,1631,6637,7948,12832,13020,13205,136657,27471,55200,110491,52489,66553,29632,5599,4642,722448,99279,47132,52147,623169,310098,313071,296652,174351,122301,296652,165771,130881,729077,360826,368251
12,785110,37.5,36.6,38.4,04,05,523219,5811,0,0,0,263,145,165,844,2969,1284,2416,2751,4423,7057,8106,94846,13971,45658,95162,48889,117145,55502,9402,6410,780184,69942,32010,37932,710242,349580,360662,274044,212688,61356,274044,205254,68790,783443,383678,399765
13,764776,42.3,40.5,44.4,04,06,552249,5480,89,46,613,516,920,852,471,2765,1319,3602,3976,4910,6016,7260,84699,14064,35639,84842,43466,158682,60162,21848,10012,759941,90277,41245,49032,669664,335817,333847,313796,246698,67098,313796,234189,79607,762465,377853,384612
14,818387,29.7,29.7,29.7,04,07,475050,20453,185,362,2696,1768,3677,3681,3267,25679,2447,17144,18960,16204,17035,18864,105801,25780,27391,67447,29588,43889,15677,4180,2875,806765,229251,101349,127902,577514,297869,279645,245571,203040,42531,245571,192158,53413,811489,400657,410832
15,782511,42.6,40.8,44.1,04,08,546461,7055,45,24,246,200,1012,311,468,3332,1304,2458,3482,7478,9328,8208,115004,17926,45760,108021,54389,107049,41940,7382,4039,769066,65277,30207,35070,703789,342094,361695,286511,202688,83823,286511,195384,91127,772302,372695,399607
16,784502,33.5,32.4,34.6,04,09,518512,7045,40,306,498,297,1460,1033,914,4736,1067,3671,5708,7910,8210,8209,90594,15377,33117,93211,40430,121896,51789,12568,8426,772184,128617,65532,63085,643567,323006,320561,309202,255528,53674,309202,246356,62846,781568,392341,389227
17,725733,39.9,38.0,41.9,05,01,494346,6160,61,57,442,352,1230,923,990,2911,3191,11065,11544,15477,19983,8400,144850,43698,34455,73877,33311,53291,21214,4012,2852,693828,131074,58694,72380,562754,281024,281730,273559,192014,81545,273559,183001,90558,700243,341854,358389
18,758929,36.9,35.9,37.9,05,02,504429,3178,80,0,91,373,517,414,854,2099,1650,4206,6426,8245,10953,7654,126589,27275,33007,84808,34814,92424,42118,9512,7142,740498,119803,55172,64631,620695,302224,318471,293331,220129,73202,293331,213544,79787,749026,359603,389423
19,794237,35.3,34.5,36.4,05,03,510509,6920,187,0,8,1018,2955,1113,1438,8936,3482,6761,9792,10571,11328,6108,130233,26494,35271,79646,31043,86672,35070,9414,6049,776274,113969,53279,60690,662305,328612,333693,303127,232340,70787,303127,224892,78235,788161,387997,400164
20,709349,40.8,38.9,42.2,05,04,481164,6317,55,31,235,288,875,389,700,3664,3189,10752,10363,14860,18525,9236,150412,32418,33015,75630,34147,50221,19732,3265,2845,688030,134379,56605,77774,553651,278885,274766,272701,186563,86138,272701,179200,93501,696842,340473,356369
21,703162,43.0,40.9,45.1,06,01,494238,7132,0,0,78,178,442,708,914,3455,917,4004,4773,6916,10461,10224,101190,22300,46785,107529,49288,74088,29642,9535,3679,680382,117451,56938,60513,562931,280129,282802,273669,180260,93409,273669,167076,106593,686771,339867,346904
22,716202,44.1,42.8,45.3,06,02,515218,5469,246,165,355,1330,1638,136,993,9973,1110,3674,3675,5715,8588,8166,82624,12691,31998,87517,39143,128218,53024,19428,9342,699632,88646,42730,45916,610986,298655,312331,283904,213182,70722,283904,190727,93177,705139,342487,362652
23,740253,35.0,34.2,36.0,06,03,476942,9419,271,143,702,1020,3460,3434,3407,10520,1156,6342,7518,9192,11259,11733,90780,16963,37313,88590,44093,75409,28639,8692,6887,716333,108534,46536,61998,607799,307839,299960,251190,193807,57383,251190,183702,67488,720805,355587,365218
24,737169,44.2,42.5,45.9,06,04,525139,4398,71,12,312,270,278,95,272,2857,499,2474,2707,5471,8611,8228,94475,14577,44824,101846,58114,113568,40950,14290,5940,726091,66447,29115,37332,659644,329990,329654,274386,196610,77776,274386,182849,91537,727069,359327,367742
25,735968,40.4,38.8,42.4,06,05,519097,9484,60,909,181,1087,1902,1282,2328,11194,1321,4111,6710,5308,7951,12074,86940,16202,39023,97557,51461,106891,35776,13290,6055,724769,74171,33146,41025,650598,318433,332165,262302,204757,57545,262302,192098,70204,729640,354367,375273
26,763987,33.9,32.7,35.0,06,06,505811,17051,82,128,195,536,2545,2119,1976,9381,3030,6523,6850,7604,11874,14439,109593,14874,29453,86035,42300,91108,32927,10102,5086,754980,162114,77342,84772,592866,291870,300996,271977,213308,58669,271977,204091,67886,759395,371388,388007
27,738468,38.5,37.2,40.0,06,07,501496,11956,103,0,297,271,972,1434,1344,3793,1075,4521,4110,4413,5403,11191,87250,12841,39003,93343,53111,106181,42063,11449,5372,729701,84475,38858,45617,645226,313387,331839,261127,202467,58660,261127,194012,67115,730943,352721,378222
28,723600,34.5,32.9,35.6,06,08,452986,8135,178,95,604,765,2006,923,1601,10086,2484,3409,9057,11485,15817,16342,117578,13609,34936,86951,39517,48196,22601,3376,3235,707499,144495,66674,77821,563004,281344,281660,232951,173101,59850,232951,164566,68385,705796,345227,360569
29,760794,35.1,34.1,35.9,06,09,483489,17356,0,240,336,1825,2450,1347,3100,17755,3145,5362,7942,10437,13671,16680,109273,15581,38337,80200,45907,63096,20397,6209,2843,748521,106015,46460,59555,642506,323341,319165,237359,184526,52833,237359,177629,59730,755082,372103,382979
30,744989,34.4,33.4,35.5,06,10,471688,12137,0,175,910,1524,3417,3342,4084,16218,1724,9538,8242,10858,13952,14266,117413,16926,38484,80926,39428,54502,16509,5562,1551,736647,93334,43313,50021,643313,317065,326248,235531,185686,49845,235531,177745,57786,738921,362040,376881
31,756337,39.7,38.7,40.8,06,11,523012,9767,0,201,187,1147,3197,1834,2591,10504,2142,6663,7254,4438,4878,8697,71595,10690,28756,79341,41084,140399,57696,18471,11480,749260,70408,31792,38616,678852,335346,343506,266301,215219,51082,266301,204936,61365,752037,367660,384377
